type,name,folder,file_id,size_mb,group_key,action_suggested
duplicate_folder,リュート,(parent),1emBnKGiIDWXZSNo-D7YmE-jrIhTsuYzA,,リュート,review
duplicate_folder,りゅうせんひろつぐ,(parent),1YOh0kNLa6LYZ1hNuTrypNPCuHYRqs5OO,,リュート,review
duplicate_folder,猫子,(parent),1QlyxW_PG-vcG2bfKk3YUNF-dFsd4ZhTj,,リュート,review
duplicate_folder,Avaritiabona,(parent),1k84BmTDmeFH7dJ460bo9QtA3gabxg8Cq,,Avaritiabona,merge
duplicate_folder,Avaritiabona,(parent),1S2PxiALqxQWhX75-n6IsEFDAWddw5cpV,,Avaritiabona,merge
duplicate_folder,R. E. Mcdermott,(parent),19ExYNIV8WBNZbV8O9-hvv6MW0kKKPX2j,,R. E. Mcdermott,merge
duplicate_folder,R.E. McDermott - Disruption Trilogy,(parent),1CxydNymj7J-N_gKXuGriPf_Mt3KVyMfQ,,R. E. Mcdermott,merge
duplicate_file,Minnie in Paris - Minnie.m4b,Sheila Sweeny Higginson,1WZ4EzdShbLu5F9hNnweRjEEZaP7erK5G,5.3,Minnie in Paris - Minnie.m4b,keep
duplicate_file,Minnie in Paris - Minnie.m4b,Disney Books,1MToGVENxh_BQEdpWsLjHgPyGeTeKrNMy,5.3,Minnie in Paris - Minnie.m4b,delete
duplicate_file,The Complete Disruption Trilogy- Books 1 - 3.m4b,R. E. Mcdermott,1-MdeOfcMXKwmMze259sa-4wlCj4yj_39,1065.8,The Complete Disruption Trilogy- Books 1 - 3.m4b,keep
duplicate_file,The Complete Disruption Trilogy- Books 1 - 3.m4b,R.E. McDermott - Disruption Trilogy,1-yVPiSgjlsCLeSz8ZGsrPA1xd8mGnqjW,1065.8,The Complete Disruption Trilogy- Books 1 - 3.m4b,delete
duplicate_file,The Healer's Way- Book 8.m4b,Oleg Sapphire,1wC8gotQZUiDCUISZa9HNyK7P0dsK3JOH,473.3,The Healer's Way- Book 8.m4b,keep
duplicate_file,The Healer's Way- Book 8.m4b,Oleg Sapphire,1hDRJ9wpaR7_mYCDZQQmImDHZeVOS_2Bm,473.3,The Healer's Way- Book 8.m4b,delete
duplicate_file,"The Healer's Way, Book 9.m4b",Oleg Sapphire,1iyBXTzDeQPqAHTHsIv_s8sQHLmST2h5r,443.9,"The Healer's Way, Book 9.m4b",keep
duplicate_file,"The Healer's Way, Book 9.m4b",Oleg Sapphire,12Xs1Oaji83_prGoW1e_PbUUubhKwxc7W,443.9,"The Healer's Way, Book 9.m4b",delete
duplicate_file,"The Healer's Way - The Healer's Way, Book 10.m4b",Oleg Sapphire,1JmYfeR3uQVT6NOWfjj0Tu5AMKZhUI682,466.0,"The Healer's Way - The Healer's Way, Book 10.m4b",keep
duplicate_file,"The Healer's Way - The Healer's Way, Book 10.m4b",Oleg Sapphire,1r0Ulv0ioXOtzWXTHkXwHBzH4_QBVnpU1,466.0,"The Healer's Way - The Healer's Way, Book 10.m4b",delete
duplicate_file,Disney Junior Ariel- A Magical Mess.m4b,Michelle Meadows,1QbyXW5XyOjZLQ_oqysq7GYFC6UMBrtCi,7.4,Disney Junior Ariel- A Magical Mess.m4b,keep
duplicate_file,Disney Junior Ariel- A Magical Mess.m4b,Disney Books,1zbjnbK93Uo4A2zw3sxlLIVxGBy0bro_F,7.4,Disney Junior Ariel- A Magical Mess.m4b,delete
duplicate_file,Stan Lee's The Devil's Quintet- The Armageddon Code - A Novel.m4b,Jay Bonansinga,1iQdKhatbqeyQZdCz2rKcEm_Wv5nOPqKB,584.7,Stan Lee's The Devil's Quintet- The Armageddon Code - A Novel.m4b,keep
duplicate_file,Stan Lee's The Devil's Quintet- The Armageddon Code - A Novel.m4b,Stan Lee,12BLVLHo3ymO5MwLKOeuI-vdsKmvVhPou,584.7,Stan Lee's The Devil's Quintet- The Armageddon Code - A Novel.m4b,delete
duplicate_file,Disney Pixar Cars- Hitting the Speedway.m4b,Disney Book Group,1yVz0fNxa3khwLeOFYPG9HoYFckC1QHdf,12.0,Disney Pixar Cars- Hitting the Speedway.m4b,keep
duplicate_file,Disney Pixar Cars- Hitting the Speedway.m4b,Disney Books,1pUFB-KxyXzbQD2ngIxk9MvKfINyJ3dm7,12.0,Disney Pixar Cars- Hitting the Speedway.m4b,delete
duplicate_file,"Axiom- A Divine Dungeon Series - Artorian's Archives, Book 1.m4b",Dennis Vanderkerken,1pMHnFE-x3RJRtrFyk0pmrKRDZatHN9qV,662.6,"Axiom- A Divine Dungeon Series - Artorian's Archives, Book 1.m4b",keep
duplicate_file,"Axiom- A Divine Dungeon Series - Artorian's Archives, Book 1.m4b",Dakota Krout - CAL Universe,1i3WLymckh0co5FueN8kmeRfBqE7Cfrje,662.6,"Axiom- A Divine Dungeon Series - Artorian's Archives, Book 1.m4b",delete
duplicate_file,"Annex- A Divine Dungeon Series - Artorian's Archives, Book 3.m4b",Dennis Vanderkerken,1fk3ac2xZ2C3CZuZ1vsblYcxpjagUqH31,585.5,"Annex- A Divine Dungeon Series - Artorian's Archives, Book 3.m4b",keep
duplicate_file,"Annex- A Divine Dungeon Series - Artorian's Archives, Book 3.m4b",Dakota Krout - CAL Universe,1E7Th9wgRqzL_ZSeQ3VRpx6tVZ-PtN5C4,585.5,"Annex- A Divine Dungeon Series - Artorian's Archives, Book 3.m4b",delete
duplicate_file,"Anima - A Divine Dungeon Series (Artorian's Archives, Book 6).m4b",Dennis Vanderkerken,1ZrpGhjz5rzd7J6ftsWXR9q8ZwG1IknJb,712.5,"Anima - A Divine Dungeon Series (Artorian's Archives, Book 6).m4b",keep
duplicate_file,"Anima - A Divine Dungeon Series (Artorian's Archives, Book 6).m4b",Dakota Krout - CAL Universe,1O4wHyh7H5wVOjZjqDLZprs6Bce0zUzQt,712.5,"Anima - A Divine Dungeon Series (Artorian's Archives, Book 6).m4b",delete
duplicate_file,"Alumni- A Divine Dungeon Series - Artorian's Archives, Book 2.m4b",Dennis Vanderkerken,145NRIwfCLt6bf8kki94AOSbtHK-NlH3f,761.7,"Alumni- A Divine Dungeon Series - Artorian's Archives, Book 2.m4b",keep
duplicate_file,"Alumni- A Divine Dungeon Series - Artorian's Archives, Book 2.m4b",Dakota Krout - CAL Universe,12TgM3jrBStWz8CAvJBE0naKwpzoclXo9,761.7,"Alumni- A Divine Dungeon Series - Artorian's Archives, Book 2.m4b",delete
duplicate_file,"Acme - Artorian's Archives, Book 5.m4b",Dennis Vanderkerken,1uXvTzzKfR9BF-FQpCVAMWbe_X73zP5AJ,363.5,"Acme - Artorian's Archives, Book 5.m4b",keep
duplicate_file,"Acme - Artorian's Archives, Book 5.m4b",Dakota Krout - CAL Universe,1u-nq2YvlGRkNzHbPXhFBZECx2DSzdmmW,363.5,"Acme - Artorian's Archives, Book 5.m4b",delete
duplicate_file,Splinter Angel- Book 1.m4b,Avaritiabona,1yRFJAVcOVchyiGf1PSb2vIXuTNFuE_Oz,732.4,Splinter Angel- Book 1.m4b,keep
duplicate_file,Splinter Angel- Book 1.m4b,Avaritiabona,1jruqFLH31BTwn-TEo71nxANl3HZ_cWo4,732.4,Splinter Angel- Book 1.m4b,delete
duplicate_file,"Can't Spell Treason Without Tea - Tomes & Tea, Book 1.m4b",Rebecca Yarros - Fourth Wing,1KuTBg9pXxheFbQKf0SpVKaTUQpLwKvvJ,640.3,"Can't Spell Treason Without Tea - Tomes & Tea, Book 1.m4b",keep
duplicate_file,"Can't Spell Treason Without Tea - Tomes & Tea, Book 1.m4b",Rebecca Thorne - Tomes & Tea,132vdM21fqsILW9KP57jCM3sjJo5WNMSl,640.3,"Can't Spell Treason Without Tea - Tomes & Tea, Book 1.m4b",delete
duplicate_file,"Bibliomancer - Wolfman Warlock, Book 1.m4b",James Hunter - The Viridian Gate Archives/The Rogue Dungeon,125gp5DgceadSPBb6ADGGZqpSuTfAE_1_,700.2,"Bibliomancer - Wolfman Warlock, Book 1.m4b",keep
duplicate_file,"Bibliomancer - Wolfman Warlock, Book 1.m4b",Dakota Krout - CAL Universe,16DJFQmRz2EwzVwoRJ1ystOkNIdlhLokp,700.2,"Bibliomancer - Wolfman Warlock, Book 1.m4b",delete
duplicate_file,Defiance of the Fall - A LitRPG Adventure.m4b,Thefirstdefier,1WsPqC6r2J34FknlG2B2OWHXDHDWXAsAq,1280.7,Defiance of the Fall - A LitRPG Adventure.m4b,keep
duplicate_file,Defiance of the Fall - A LitRPG Adventure.m4b,JF Brink,1tYjZMtvzPY2WyOCLB0mAeD1eMlbPojYu,1280.7,Defiance of the Fall - A LitRPG Adventure.m4b,delete
duplicate_file,Sometimes I Lie.m4b,Alice Feeney,1trq99omEJ3RtQc71skD-v_QoHDIsaHIW,552.3,Sometimes I Lie.m4b,keep
duplicate_file,Sometimes I Lie.m4b,Alice Feeney,13L9t-joUxeaOtluYiALBTPj6AOs3AHSn,552.3,Sometimes I Lie.m4b,delete
